,id,author,tweet,created_at,language,n_retweets,n_likes
0,1201651249877307393,edre,"RT @castrofbpa_: grêmio contratando um jogador jovem e bom???¿??¿??¿?

acho que está errada a notícia amigo https://t.co/tsfTEEJAvF",2019-12-02 23:55:58,pt,3,0
1,1201651247041982465,campeao,"@mayragleite Não, mas se ceara empatar com o corinthians e o cruzeiro perder prp gremio. Ja está matematicamente rebaixado",2019-12-02 23:55:57,pt,0,0
2,1201651243027959809,bi y hepta,"RT @RDTRubroNegro: Flamengo pré Jorge Jesus não vencia:

- A Liberta há 38 anos.

- O Brasileiro há 10 anos.

- Na Arena da Baixada há 45 a…",2019-12-02 23:55:56,pt,561,0
3,1201651236187131905,Felipe Brasil,"RT @Zeiro_Guerreiro: Com esse resultado, se o Ceará empatar com o Corinthians em casa e o Cruzeiro perder pro Grêmio no Sul, o Cruzeiro est…",2019-12-02 23:55:54,pt,23,0
4,1201651232831606785,"ford del rey ouro, questão de requinte",o gremio contratará thiago neves,2019-12-02 23:55:54,pt,0,0
5,1201651231300734977,William Barbosa,"RT @Canal_Palmeiras: Com esse resultado, se o Gremio vence o Cruzeiro em Porto Alegre e o Ceará vence o Corinthians em Fortaleza, o Cruzeir…",2019-12-02 23:55:53,pt,1,0
6,1201651227261624320,Daniel Genonadio,"RT @sergeta: Placares combinados do Flamengo no Brasileirão:

7 x 1 Ceará
8 x 3 Goiás
6 x 1 Palmeiras
8 x 5 Vasco
5 x 2 Cruzeiro, Athletico…",2019-12-02 23:55:52,pt,206,0
7,1201651225982373888,ANDI BICAMPEÃO DA LIBERTADORES,@Wallace87fla @BastidoresFla Ceará empatando o próximo jogo contra o Corinthians em casa e o Cruzeiro perdendo hoje… https://t.co/vgs2YcHKjb,2019-12-02 23:55:52,pt,0,0
8,1201651218701000704,Soccer News Grêmio,"""A gente está se mexendo, não estamos de bobeira não. A gente terá um grupo forte. A gente está se mexendo há muito… https://t.co/w8JlhTCkTt",2019-12-02 23:55:50,pt,0,0
9,1201651212749287425,Geovane,"RT @Zeiro_Guerreiro: Com esse resultado, se o Ceará empatar com o Corinthians em casa e o Cruzeiro perder pro Grêmio no Sul, o Cruzeiro est…",2019-12-02 23:55:49,pt,23,0
10,1201651209368735750,Ever Macoritto,"RT @pzeballos10: Flamengo, Emelec, Olimpia Inter, Gremio, Palmeiras,  Sao Paulo, Libertad , 
Guarani, Cerro , Santos,  Estudiantes Fluminen…",2019-12-02 23:55:48,pt,44,0
11,1201651186400727046,Esquecida da Lótus #CultiveLotus,RT @FelzkeGeeh: Pra que algumas pessoas entendam no contexto da discussão... Quando eu era bixete via mtos bixos reclamando da chapa (2018)…,2019-12-02 23:55:43,pt,1,0
12,1201651178968354816,Leo,Cruzeiro virar esse trem eu vou pro sul contra o grêmio,2019-12-02 23:55:41,pt,0,0
13,1201651177580048392,lly,"RT @SoccerGremio: A informação que nos chega, é que são apenas detalhes a serem finalizados entre Grêmio e Palmeiras por Raphael Veiga. Os…",2019-12-02 23:55:40,pt,42,0
14,1201651169820585985,"VAPO VAPO, EXECUTAMO OS CARA (int e fla)",@JVZEIRO @Cruzeiro Jogo contra o grêmio será o fim da linha... O que está acontecendo com vcs aconteceu com nós tam… https://t.co/SoW36WJFky,2019-12-02 23:55:39,pt,0,0
